vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;165;4;414;411;8780.3;1.6;5;14.1;25;77.6
0;166;1;201;198;501.4;0.8;1.2;2.4;3.2;4.2
0;166;2;1920;1897;6219.5;0.8;1.2;2.3;3.2;10.7
0;166;3;1213;1207;7195.7;1;1.6;3.1;7;19.2
0;166;4;385;381;6866.5;1.2;2.8;9.9;20.1;69.5
0;167;1;442;332;350.7;0.4;0.4;0.8;1.2;2.8
0;167;2;463;219;554.1;0.4;0.8;1.6;2;6.4
0;167;3;184;160;992.3;0.8;1.6;2.6;4.5;16.6
0;167;4;102;102;2027.3;1.2;3.2;7.5;18;80.6
0;168;1;636;527;1181.8;0.4;0.8;1.2;2.4;7.9
0;168;2;1643;1452;5229.4;0.4;0.8;1.6;3.1;13.3
0;168;3;668;623;4906.7;0.4;1.2;2.4;8.5;26.7
0;168;4;651;631;15738.9;1.1;3.3;11.8;27.8;104.5
0;169;1;90;83;270.1;0.4;1.1;1.6;3.6;12.3
0;169;2;299;295;1149.7;0.4;1.2;1.9;3.7;15.4
0;169;3;178;174;1283.6;0.4;1.6;3.6;9.5;23.8
0;169;4;216;213;5390.7;1.1;3.4;14.2;30.4;89.1
0;170;1;39;35;78;0.4;0.5;0.8;1.7;10.3
0;170;2;234;219;599.4;0.4;0.4;0.8;2;11.4
0;170;3;143;133;923.4;0.4;0.8;3;10.6;22.5
0;170;4;48;48;1031.2;0.8;8.4;13.5;32.7;63.4
0;171;1;2241;1995;2188.9;0.4;0.4;0.8;1;3.8
0;171;2;3814;3421;6507.3;0.4;0.4;0.8;1.5;7.4
0;171;3;1200;1107;5599.4;0.4;0.4;1.2;6.3;18.6
0;171;4;256;249;3776.3;0.4;2.1;8.5;19;49.9
0;172;1;64;57;952.5;0.4;0.8;7.7;23;43.6
0;172;2;194;176;3908.2;0.4;3.4;13.1;25.8;81.3
0;172;3;320;308;9187;0.7;8.5;20.9;40.3;90.9
0;172;4;189;184;8454.8;4;15.4;33.4;56.9;144.7
0;173;1;6827;3600;5106.6;0.4;0.4;0.4;1.2;5.1
0;173;2;8065;4865;15722.3;0.4;0.4;0.8;2;13.1
